Week,Day,Morning (20m) - Input,Lunch (15m) - Vocab,Evening (45m) - Output/Task,Daily Goal
Week 4,Day 27,YouTube: SSL Pinning,Authentication,Explain Certificate Pinning (NetworkKit),Explain MITM prevention
Week 4,Day 28,Review Week 4 Tech,Handshake,Mock: Hard Tech Questions,Precision in terms
Week 5,Day 29,Swift: Struct vs Class,Value Type,Explain Copy on Write (COW),Explain Heap vs Stack
Week 5,Day 30,YouTube: Protocol Oriented (POP),Abstraction,Explain POP vs OOP,Explain flexibility/decoupling
Week 5,Day 31,SwiftUI vs UIKit,Declarative,Compare SwiftUI/Flutter/UIKit,State management talk
Week 5,Day 32,YouTube: Metal/GPU,Rendering,Explain Metal vs OpenGL ES,Explain MTLDevice/MTKView
Week 5,Day 33,Data Security: Secure Enclave,Keychain,Explain Private Key storage,Explain hardware isolation
Week 5,Day 34,YouTube: Combine Framework,Publisher,Explain Combine: Debounce/Throttle,Explain PassthroughSubject
Week 5,Day 35,Review Week 5 Tech,Subscriber,Mock: Swift & UI Deep Dive,Handle "Why" questions
Week 6,Day 36,Design Patterns: Facade,Singleton,Explain Facade (Network/PaymentKit),Use "Unified entry point"
Week 6,Day 37,Pattern: Strategy/Adapter,Compliance,Explain Strategy (Payment channels),Explain Adapter (Logger)
Week 6,Day 38,Pattern: Interceptor,Middleware,Explain Interceptor (Token/Params),Explain Chain of Responsibility
Week 6,Day 39,YouTube: System Design,Modularization,Explain Componentization Architecture,High-level design talk
Week 6,Day 40,YouTube: Clean Architecture,Layers,Explain MVVM vs MVC vs VIPER,Pros and Cons analysis
Week 6,Day 41,TDD & CI/CD basics,Automation,Talk about TDD/Unit Testing (XCTest),Quality assurance talk
Week 6,Day 42,Review Week 6 Patterns,Maintainable,Mock: System Design interview,Architect mindset
Week 7,Day 43,Podcast: Daily Standups,Update,Practice: "Yesterday I did...",Clear status reporting
Week 7,Day 44,YouTube: Sprint Planning,Priority,Practice: Estimating tasks/points,Negotiation phrases
Week 7,Day 45,PR Review comments blog,Suggestion,Practice: Writing/Speaking PR reviews,Polite but firm
Week 7,Day 46,Meeting: Handling conflict,Perspective,Practice: "I disagree because...",Professional debate
Week 7,Day 47,Collaborating with Backend,Endpoint,Practice: Discussing API specs,Contract-first talk
Week 7,Day 48,Collaborating with Product,Requirement,Practice: Clarifying requirements,Avoid over-engineering
Week 7,Day 49,Review Week 7 Workplace,Collaboration,Mock: Workplace Scenarios,Soft skills polish
Week 8,Day 50,Full Mock: HR Round,Career Plan,Practice: Why OKX? Why abroad?,Motivation & Fit
Week 8,Day 51,Full Mock: Tech Round 1,Fundamental,Practice: Memory/Swift/UI,Speed & Accuracy
Week 8,Day 52,Full Mock: Tech Round 2,Architecture,Practice: Componentization/Design,Design depth
Week 8,Day 53,Full Mock: Management/Lead,Mentorship,Practice: Leading teams/Mentoring,Seniority signals
Week 8,Day 54,YouTube: Salary Negotiation,Compensation,Practice: Discussing salary/benefits,Confident negotiation
Week 8,Day 55,Final Review: Hard words,Pronunciation,Record and listen to yourself,Final polish
Week 8,Day 56,Relax & Final Prep,Confidence,Final Mental Walkthrough,Ready for Interview
